Project Name,Sector,Sub-Sector,Location,Status,Type of PPP,Project Brief,Project Capacity,Nodal Authority,Concession Duration (In Months),Update Date,Project Authority Name,Project Concessionaire Name,Bid Parameter,Concession Agreement Signing Date,Financial Closure Date,Appointed Date,Construction Completion Date(As per agreement),Construction Completion Date(Actual),Date of Start Of Commercial Operation (As per agreement),Date of Start Of Commercial Operation (As actual),Concession End Date(As per agreement),Concession End Date(Actual),Revised Concession End Date,Type of Grant,Grant Amount in Rs Crore,Project Cost(As per agreement) in Rs Crore,Project Cost(Revised) in Rs Crore,Project Cost(Actual) in Rs Crore,Any Other Information
"Setting up of 50,000 MT modern food silo complex at Harda District Village Bhadawad",Social and Commercial Infrastructure,Post-harvest storage infrastructure for agriculture and horticulture produce including cold storage,Madhya Pradesh,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT),Steel Silos with a capacity of 50000 MT are being established in the form of 4 steel bins wherein the requirement of land is about 7 acres and each Steel Bin has capacity of 12500 MT.,50000.0 MT (Metric Tonne ),State,360,13-Sep-2019,Madhya Pradesh Warehousing and Logistics Corporation (MPWLC),"Adani Agri Logistics (Harda) Limited, Bhopal",Highest premium,06-Jun-2014,05-Aug-2014,05-Aug-2014,04-Aug-2015,04-Nov-2015,01-Apr-2016,18-Mar-2016,04-Aug-2025,Not Applicable,Not Available,Construction Grant,2.91,30.55,Not Available,28.97,This is a VGF Final Approved Project. The data has been checked and corrected for logical accuracy.
"Setting up of 50,000 MT modern food silo complex at Hoshangabad District Village Junheta Bankhedi",Social and Commercial Infrastructure,Post-harvest storage infrastructure for agriculture and horticulture produce including cold storage,Madhya Pradesh,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT),The project involved development of steel silos at Juneta in Hoshangabad district. It includes setting up of  4 steel bins with capacity of 12500 MT each.,50000.0 MT (Metric Tonne ),State,360,13-Sep-2019,Madhya Pradesh Warehousing and Logistics Corporation (MPWLC),"Adani Agri Logistics (Hoshangabad) Limited, Bhopal",Highest premium,06-Jun-2014,05-Aug-2014,05-Aug-2014,04-Aug-2015,05-Nov-2015,25-Mar-2016,25-Mar-2016,04-Aug-2025,Not Applicable,Not Available,Project Development Grant,2.41,30.55,Not Available,28.82,This is a VGF Final Approved Project. The data has been checked and corrected for logical accuracy.
"Setting up of 50,000 MT modern food silo complex at Indore",Social and Commercial Infrastructure,Post-harvest storage infrastructure for agriculture and horticulture produce including cold storage,Madhya Pradesh,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT),The project involved development of steel silos at Barlai sugar factory in Indore district. It includes setting up of  4 steel bins with capacity of 12500 MT each.,50000.0 MT (Metric Tonne ),State,360,13-Sep-2019,Madhya Pradesh Warehousing and Logistics Corporation (MPWLC),"Raghuvesh Agri Foods Private Limited, Bhopal",Highest premium,28-May-2014,23-Jul-2014,23-Jul-2014,22-Jul-2015,30-Jun-2015,01-Apr-2016,Not Available,21-Jul-2025,Not Applicable,Not Available,,0.00,30.63,Not Available,30.64,This is a VGF In Principle Approved Project. The data has been checked and corrected for logical accuracy.
"Setting up of 50,000 MT modern food silo complex at Satna District Village Mohari",Social and Commercial Infrastructure,Post-harvest storage infrastructure for agriculture and horticulture produce including cold storage,Madhya Pradesh,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT),The project involved development of steel silos at Mouhari in Satna district. It includes setting up of  4 steel bins with capacity of 12500 MT each.,50000.0 MT (Metric Tonne ),State,360,13-Sep-2019,Madhya Pradesh Warehousing and Logistics Corporation (MPWLC),"Adani Agri Logistics (Satna) Limited, Bhopal",Highest premium,06-Jun-2014,05-Aug-2014,05-Aug-2014,04-Aug-2015,04-Nov-2015,01-Apr-2016,04-Apr-2016,04-Aug-2025,Not Applicable,Not Available,Project Development Grant,3.11,28.95,Not Available,28.95,This is a VGF Final Approved Project.The data has been checked and corrected for logical accuracy.
"Setting up of 50,000 MT modern food silo complex at Sehore District Village Murli",Social and Commercial Infrastructure,Post-harvest storage infrastructure for agriculture and horticulture produce including cold storage,Madhya Pradesh,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT),The project involved development of steel silos at Murali village in Sehore district. It includes setting up of  4 steel bins with capacity of 12500 MT each.,50000.0 MT (Metric Tonne ),State,360,13-Sep-2019,Madhya Pradesh Warehousing and Logistics Corporation (MPWLC),"Sehore Agri Service Private Limited, Bhopal",Highest premium,13-Jun-2014,11-Aug-2014,11-Aug-2014,10-Aug-2015,04-Nov-2015,01-Apr-2016,16-Mar-2016,10-Aug-2025,Not Applicable,Not Available,,0.00,30.55,Not Available,30.55,This is a VGF In Principle Approved Project. The data has been checked and corrected for logical accuracy.
"Setting up of 50,000 MT modern food silo complex at Ujjain District Village Manpur",Social and Commercial Infrastructure,Post-harvest storage infrastructure for agriculture and horticulture produce including cold storage,Madhya Pradesh,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT),Steel Silos with a capacity of 50000 MT are being established in the form of 4 steel bins wherein the requirement of land is about 7 acres and each Steel Bin has capacity of 12500 MT.,50000.0 MT (Metric Tonne ),State,360,13-Sep-2019,Madhya Pradesh Warehousing and Logistics Corporation (MPWLC),"Adani Agri Logistics (Ujjain) Limited, Bhopal",Highest premium,06-Jun-2014,05-Aug-2014,05-Aug-2014,04-Aug-2015,30-Oct-2015,01-Apr-2016,16-Mar-2016,04-Aug-2025,Not Applicable,Not Available,Construction Grant,2.41,30.55,Not Available,29.60,This is a VGF Final Approved Project. The data has been checked and corrected for logical accuracy.
"Setting up of 50,000 MT modern food silo complex at Vidisha District Village Patheri Haveli",Social and Commercial Infrastructure,Post-harvest storage infrastructure for agriculture and horticulture produce including cold storage,Madhya Pradesh,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT),The project involved development of steel silos at Pathari Haveli village in Vidisha district. It includes setting up of  4 steel bins with capacity of 12500 MT each.,50000.0 MT (Metric Tonne ),State,360,13-Sep-2019,Madhya Pradesh Warehousing and Logistics Corporation (MPWLC),"Adani Agri Logistics (MP) Limited, Bhopal",Highest premium,06-Jun-2014,05-Aug-2014,05-Aug-2014,04-Aug-2015,04-Nov-2015,01-Apr-2016,29-Mar-2016,04-Aug-2025,Not Applicable,Not Available,Project Development Grant,2.21,33.87,Not Available,30.96,This is a VGF Final Approved Project. Data has been checked and corrected for logical accuracy.
Shivpuri Water Supply Project,Water Sanitation,Water supply pipeline,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,Shivpuri Water Supply Project [42 MLD 2010 and 60 MLD by 2035],60.0 MLD (Millons Liter per day),State,300,13-Sep-2019,Nagar Palika Parishad Shivpuri,"Doshian Veolia , Ahmedabad",Not Available,15-Oct-2009,01-Apr-2010,01-Jun-2010,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,,0.00,61.85,80.71,Not Available,Not Available
Visakhapatnam Industrial Water Supply Project,Water Sanitation,Water treatment plants,Andhra Pradesh,Operation and Maintenance Stage,Build-Own-Operate-Transfer (BOOT),"The Visakhapatnam Industrial Water Supply Project envisages the use of the existing Yeleru Left Bank Canal (YLBC) system, which presently supplies water from Yeleru.  Reservoir to Visakhapatnam Steel Plant (VSP), to meet immediate future demand of about 300 million litres daily (mld) raw water of various consumers including VSP. 5 TMC (388 Mld) from Yeleru reservoir l and another 5 TMC (388 Mld) from River Godavari.",388.0 MLD (Millons Liter per day),State,384,13-Sep-2019,Andhra Pradesh Industrial Infrastructure Corporation Limited (APIIC),Visakhapatnam Industrial Water Supply Company Limited (VIWSCo),Not Available,01-Mar-2003,01-Jul-2003,Not Available,Not Available,25-Dec-2004,Not Available,25-Dec-2004,29-Feb-2036,Not Applicable,Not Available,,0.00,453.00,Not Available,Not Available,Not Available
Water Supply Improvement (Mehrauli) Project,Water Sanitation,Water supply pipeline,Delhi (UT),Operation and Maintenance Stage,Design-Build-Operate-Transfer (DBOT),"The project involved improvement in service level for water supply Mehrauli Project Area. 24x7 / scheduled water supply in Mehrauli with automation of water supply system with capacity of 35,000 nos. of water connections for Mehrauli",Not Available,State,120,13-Sep-2019,Delhi Jal Board,MVV Water Utility Private Limited,Minimum grant,12-Sep-2012,11-Dec-2012,Not Available,26-Sep-2014,12-Dec-2014,26-Sep-2014,12-Dec-2014,11-Sep-2022,Not Applicable,11-Sep-2022,,0.00,201.00,Not Available,201.00,Not Available
Water Supply Scheme ( Naba Diganta Industrial Township),Water Sanitation,Water supply pipeline,West Bengal,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved development & management of water supply and sewerage system at sector-V under Naba Diganta Industrial Township Authority (NDITA),Not Available,State,360,13-Sep-2019,Kolkata Metropolitan Development Authority,Nabadiganta Water Management  Limited,Tariff or User charge,08-Nov-2007,Not Available,01-Mar-2008,04-Jan-2009,04-Jan-2011,Not Available,04-Jan-2011,07-Nov-2037,Not Applicable,Not Available,,0.00,68.01,Not Available,Not Available,Not Available
Water Supply Scheme (Khandwa) - Augmentation,Water Sanitation,Water supply pipeline,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved implementation of water supply scheme at Khandwa [42 cubic meteres per day (thousands)],Not Available,State,300,13-Sep-2019,Khandwa Municipal Corporation,Vishwa Infrastructure & Services Private Limited,Not Available,30-Sep-2009,01-Feb-2010,25-Mar-2010,05-Sep-2011,31-Jul-2016,05-Sep-2011,31-Jul-2016,03-Sep-2038,Not Applicable,31-Dec-2038,Construction Grant,93.25,96.59,106.70,115.32,Not Available
Construction of Four-lane Bhopal By-pass in Madhya Pradesh,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved construction of four lane Bhopal Bypass road in Bhopal district.,52.0 KM (Kilometer),State,180,16-Sep-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),Transstroy Bhopal Bypass Tollway Private Limited,Not Available,18-Nov-2010,31-May-2011,31-May-2011,30-May-2013,26-May-2013,30-May-2013,26-May-2013,16-May-2026,Not Applicable,Not Available,Not Available,21.00,214.45,Not Available,305.00,This is a VGF In Principle Approved Project.
Four laning of Bangalore Maddur State Highway SH-17 in length of 62.5 km,Transport,Roads and bridges,Karnataka,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,Design and Construction of Road from Km 11.60 to 82.50 excluding ch. from 45.40 Km to 51.20 Km (Ramnaar Town Limits) and from 59.60 Km to 62.10 Km (Channapatna Town Limits) of Bangalore - Maddur State Highway (SH-17),62.5 KM (Kilometer),State,120,16-Sep-2019,Karnataka Road Development Corporation Limited (KRDCL),"Brindavan Infrastructure Private Limited (A SPV of Nagarjuna Construction Company Ltd., KMC Constructions & Maytas Ltd.)",Annuity,22-Nov-2003,Not Available,22-Apr-2004,30-Jun-2006,30-Jun-2006,30-Jun-2006,30-Jun-2006,21-Nov-2013,Not Applicable,Not Available,,0.00,188.00,Not Available,188.00,"(Source: Executive Engineer, Karnataka Road Devp. Corpn Ltd, November 2017)"
Four Laning of Nelamangala Junction on NH-4 with NH-48 to Devihalli under NHDP phase III A on BOT basis,Transport,Roads and bridges,Karnataka,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Toll,4/6-laning of Neelmangla Junction on NH-4 with NH-48 to Devihalli (km.28/200 to km.110/000) in Karnataka under NHDP-III A,80.0 KM (Kilometer),Centre,300,16-Sep-2019,Ministry of Road Transport and Highways,Lanco Devihalli Highways Private Limited,Minimum grant,09-Jul-2007,Not Available,05-Jan-2008,04-Jul-2010,01-Jun-2012,04-Jul-2010,01-Jun-2012,04-Jan-2033,Not Applicable,Not Available,Not Available,175.92,441.00,Not Available,742.07,Consultant: Consulting Engineers Group Ltd.
"Four laning of Pune-Sholapur section of NH 9 under NHDP Phase III, length 110.05 km  Package II",Transport,Roads and bridges,Maharashtra,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),Construction of four laned road from Pune-Sholapur Pkg-II(Approved Length I & II 110 Km of NH-9 under NHDP Phase-III,110.0 KM (Kilometer),Centre,Not Available,16-Sep-2019,Ministry of Road Transport and Highways,IL & FS Transportation Network Ltd,Not Available,Not Available,Not Available,01-Sep-2011,Not Available,28-Feb-2016,Not Available,28-Feb-2016,Not Available,Not Applicable,Not Available,,0.00,835.00,Not Available,"1,110.00",This is a PPPAC Recommended Project. Source: NHAI website
Road Upgradation (Salem-Karur) (NS-2/TN-3) Project,Transport,Roads and bridges,Tamil Nadu,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),Upgradation of Salem - Karur Road (NS-2/TN-3) (NH-7) from 258.645 km to 292.6 km in Tamil Nadu.,33.4 KM (Kilometer),Centre,240,16-Sep-2019,National Highways Authority of India (NHAI),NK Toll Road Limited,Minimum grant,01-Sep-2005,Not Available,01-Jul-2006,01-Jan-2009,31-Aug-2009,01-Jan-2009,31-Aug-2009,21-Jul-2026,Not Applicable,Not Available,,0.00,86.51,Not Available,205.60,Not Available
The Project of LNG Port & Terminal Facility in the Puthuvypeen sea at Cochin Port,Transport,Ports (excluding captive),Kerala,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involves development of LNG port & terminal facilities at Puthuvypeen SEZ in Ernakulam district.,5.0 MMTPA (million metric tonnes per annum),Centre,360,16-Sep-2019,Cochin Port Trust,Petronet LNG Limited,Lease Rent,12-Mar-2009,Not Available,17-Sep-2009,16-Mar-2013,20-Aug-2013,16-Mar-2013,25-Aug-2013,16-Sep-2039,Not Applicable,Not Available,,0.00,"4,150.00",Not Available,"4,182.00",Not Available
4 laning of Chenani-Nashri section of NH 1A including 9 km long tunnel with parallel escape tunnel on BOT (Annuity) basis,Transport,Roads and bridges,Jammu & Kashmir,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involved four-laning of Chenani- to Nashri section of NH-1A from 89.00 km to 130.00 km (new alignment) including 9 km long tunnel (2-lane) with parallel escape tunnel in Jammu & Kashmir under NHDP-II.,41.0 KM (Kilometer),Centre,240,17-Sep-2019,National Highways Authority of India (NHAI),Chenani Nashri Tunnelway Limited,Annuity,28-Jun-2010,Not Available,23-May-2011,22-May-2016,Not Available,22-May-2016,Not Available,27-Jun-2030,Not Applicable,Not Available,,0.00,"2,108.00",Not Available,Not Available,This is a PPPAC Recommended Project. Consultant: Eurostudios S.L. in association with Segmental Cons.
4 laning of Qazigund-Banihal Section of NH 1A from 189.35-204.7km including 2 tunnels of 0.69 & 8.45 km length in J&K,Transport,Roads and bridges,Jammu & Kashmir,Under Construction,Build-Operate-Transfer (BOT) Annuity,The project involves upgradation of Quazigund-Banihal section on NH-1A from 220 km to 188 km under NHDP Phase II.,15.2 KM (Kilometer),Centre,240,17-Sep-2019,National Highways Authority of India (NHAI),Navayuga Quazigund Expressway Private Limited,Annuity,13-Jul-2010,05-Jan-2011,05-Jun-2011,04-Jun-2016,Not Applicable,04-Jun-2016,Not Applicable,04-Jun-2031,Not Applicable,Not Available,,0.00,"1,987.00","2,414.00",Not Applicable,This is a PPPAC Recommended Project. Consultant: SMEC International Pvt. Ltd. In Assoc. with SMEC Pvt. Ltd. and Rodic Cons.
6/4 Laning of Delhi-Haryana Border to Rohtak Section of NH-10 from 29.7-87 km with construction of Bahadurgarh and Rohtak Bypass,Transport,Roads and bridges,Haryana,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Toll,Four/six-laning of Delhi/Haryana Border-Rohtak section from 27.900 km to 87.00 km including Bahadurgarh and Rohtak bypasses of NH 10 in Haryana under NHDP-IIIA.,63.4 KM (Kilometer),Centre,300,17-Sep-2019,National Highways Authority of India (NHAI),West Haryana Highways Projects Private Limited,Revenue Share,06-Nov-2007,03-May-2008,03-May-2008,02-May-2010,30-Nov-2015,02-May-2010,30-Nov-2015,05-Nov-2032,Not Applicable,Not Available,,0.00,486.00,Not Available,486.00,This is a PPPAC Recommended Project.
Development and Operation of Bikaner to Suratgarh section on NH 11 from km 553.869 to km 173.000 on NH 15,Transport,Roads and bridges,Rajasthan,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT),The project involves upgradation of Bikaner-Suratgarh Section of NH-15 from 553.9 km of NH-11 to 173.0 km of NH-15 via 10.6 km of NH-15 in Rajasthan.,172.4 KM (Kilometer),State,192,17-Sep-2019,"Public Works Department, Rajasthan",MBL-SREI consortium,Highest premium,09-May-2012,16-Sep-2013,16-Sep-2013,30-Jun-2018,30-Jun-2018,Not Available,30-Jul-2018,15-Sep-2029,Not Applicable,17-Sep-2029,,2.51,501.08,Not Available,Not Available,This is a VGF In Principle Approved Project.
Development of Four lane of Sidhi to Singrauli section (km 83/4 to km 195/8) of NH 75E on DBFOT (Toll) basis,Transport,Roads and bridges,Madhya Pradesh,Under Construction,Design-Build-Finance-Operate-Transfer (DBFOT) Toll,The project involves four laning of Sidhi to Singrauli  section on NH-75E in in Sidhi district.,102.6 KM (Kilometer),State,360,17-Sep-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),Sidhi-Singrauli Road Project India Limited,Minimum grant,14-May-2012,22-Nov-2012,19-Sep-2013,18-Sep-2015,Not Applicable,18-Sep-2015,Not Applicable,13-May-2042,Not Applicable,Not Available,Construction Grant,339.69,871.15,954.43,Not Applicable,This is a VGF Final Approved Project.
